,node_index
ENSG00000197565,2241
ENSG00000197919,2242
ENSG00000205155,2243
ENSG00000211452,2244
ENSG00000254087,2245
ENSG00000277734,2246
ENSG00000007312,2247
ENSG00000015520,2248
ENSG00000021461,2249
ENSG00000050555,2250
ENSG00000067992,2251
ENSG00000077514,2252
ENSG00000077782,2253
ENSG00000078814,2254
ENSG00000081052,2255
ENSG00000082898,2256
ENSG00000090402,2257
ENSG00000100433,2258
ENSG00000106366,2259
ENSG00000106631,2260
ENSG00000108821,2261
ENSG00000108839,2262
ENSG00000109991,2263
ENSG00000112038,2264
ENSG00000113448,2265
ENSG00000113721,2266
ENSG00000114859,2267
ENSG00000116824,2268
ENSG00000117594,2269
ENSG00000122121,2270
ENSG00000122194,2271
ENSG00000123201,2272
ENSG00000123992,2273
ENSG00000132170,2274
ENSG00000132855,2275
ENSG00000132906,2276
ENSG00000133216,2277
ENSG00000139842,2278
ENSG00000140009,2279
ENSG00000142156,2280
ENSG00000143106,2281
ENSG00000143473,2282
ENSG00000145675,2283
ENSG00000147123,2284
ENSG00000149295,2285
ENSG00000150782,2286
ENSG00000151067,2287
ENSG00000152086,2288
ENSG00000152402,2289
ENSG00000157388,2290
ENSG00000163932,2291
ENSG00000164078,2292
ENSG00000164344,2293
ENSG00000164794,2294
ENSG00000165731,2295
ENSG00000166148,2296
ENSG00000169194,2297
ENSG00000169429,2298
ENSG00000170214,2299
ENSG00000172752,2300
ENSG00000172878,2301
ENSG00000173198,2302
ENSG00000175166,2303
ENSG00000178057,2304
ENSG00000178127,2305
ENSG00000178999,2306
ENSG00000183813,2307
ENSG00000184156,2308
ENSG00000184160,2309
ENSG00000186010,2310
ENSG00000186318,2311
ENSG00000186827,2312
ENSG00000187266,2313
ENSG00000189403,2314
ENSG00000196236,2315
ENSG00000198033,2316
ENSG00000198431,2317
ENSG00000205268,2318
ENSG00000239732,2319
ENSG00000248333,2320
ENSG00000278195,2321
ENSG00000282608,2322
ENSG00000003436,2323
ENSG00000012124,2324
ENSG00000012504,2325
ENSG00000014257,2326
ENSG00000017427,2327
ENSG00000041982,2328
ENSG00000055118,2329
ENSG00000061918,2330
ENSG00000066468,2331
ENSG00000075073,2332
ENSG00000095303,2333
ENSG00000099341,2334
ENSG00000100368,2335
ENSG00000100739,2336
ENSG00000102524,2337
ENSG00000103546,2338
ENSG00000104833,2339
ENSG00000106123,2340
ENSG00000108576,2341
ENSG00000112294,2342
ENSG00000112541,2343
ENSG00000112742,2344
ENSG00000112769,2345
ENSG00000113520,2346
ENSG00000113578,2347
ENSG00000115159,2348
ENSG00000115310,2349
ENSG00000116106,2350
ENSG00000117461,2351
ENSG00000118785,2352
ENSG00000126266,2353
ENSG00000126934,2354
ENSG00000129167,2355
ENSG00000129473,2356
ENSG00000133256,2357
ENSG00000134460,2358
ENSG00000136930,2359
ENSG00000137745,2360
ENSG00000138735,2361
ENSG00000142731,2362
ENSG00000145863,2363
ENSG00000147099,2364
ENSG00000151079,2365
ENSG00000157404,2366
ENSG00000160791,2367
ENSG00000160882,2368
ENSG00000164362,2369
ENSG00000167325,2370
ENSG00000170745,2371
ENSG00000170820,2372
ENSG00000171873,2373
ENSG00000177663,2374
ENSG00000180176,2375
ENSG00000182580,2376
ENSG00000183765,2377
ENSG00000185291,2378
ENSG00000185386,2379
ENSG00000185527,2380
ENSG00000186951,2381
ENSG00000187758,2382
ENSG00000196218,2383
ENSG00000196876,2384
ENSG00000197646,2385
ENSG00000198900,2386
ENSG00000198947,2387
ENSG00000204403,2388
ENSG00000234829,2389
ENSG00000004468,2390
ENSG00000036828,2391
ENSG00000047936,2392
ENSG00000049249,2393
ENSG00000077092,2394
ENSG00000079999,2395
ENSG00000080573,2396
ENSG00000082175,2397
ENSG00000085662,2398
ENSG00000093010,2399
ENSG00000099795,2400
ENSG00000100170,2401
ENSG00000100764,2402
ENSG00000100804,2403
ENSG00000102096,2404
ENSG00000104689,2405
ENSG00000104921,2406
ENSG00000105383,2407
ENSG00000107643,2408
ENSG00000108691,2409
ENSG00000111199,2410
ENSG00000113302,2411
ENSG00000113749,2412
ENSG00000114200,2413
ENSG00000118432,2414
ENSG00000119013,2415
ENSG00000119535,2416
ENSG00000120457,2417
ENSG00000121361,2418
ENSG00000122641,2419
ENSG00000123374,2420
ENSG00000124089,2421
ENSG00000126583,2422
ENSG00000128059,2423
ENSG00000130037,2424
ENSG00000130598,2425
ENSG00000131724,2426
ENSG00000131759,2427
ENSG00000134250,2428
ENSG00000140538,2429
ENSG00000140992,2430
ENSG00000143167,2431
ENSG00000143801,2432
ENSG00000143839,2433
ENSG00000148053,2434
ENSG00000148154,2435
ENSG00000150630,2436
ENSG00000158825,2437
ENSG00000160255,2438
ENSG00000160654,2439
ENSG00000161057,2440
ENSG00000163823,2441
ENSG00000164136,2442
ENSG00000164418,2443
ENSG00000165916,2444
ENSG00000166136,2445
ENSG00000167244,2446
ENSG00000167601,2447
ENSG00000167941,2448
ENSG00000168830,2449
ENSG00000169684,2450
ENSG00000171132,2451
ENSG00000171557,2452
ENSG00000171560,2453
ENSG00000171791,2454
ENSG00000172062,2455
ENSG00000173585,2456
ENSG00000173692,2457
ENSG00000174343,2458
ENSG00000174417,2459
ENSG00000178342,2460
ENSG00000179097,2461
ENSG00000180739,2462
ENSG00000182333,2463
ENSG00000182674,2464
ENSG00000183454,2465
ENSG00000184408,2466
ENSG00000184984,2467
ENSG00000187554,2468
ENSG00000197170,2469
ENSG00000197891,2470
ENSG00000198805,2471
ENSG00000204385,2472
ENSG00000204388,2473
ENSG00000205560,2474
ENSG00000212907,2475
ENSG00000213694,2476
ENSG00000263761,2477
ENSG00000269858,2478
ENSG00000277893,2479
ENSG00000019991,2480
ENSG00000027697,2481
ENSG00000053918,2482
ENSG00000061273,2483
ENSG00000065989,2484
ENSG00000068078,2485
ENSG00000073417,2486
ENSG00000075461,2487
ENSG00000078061,2488
ENSG00000078098,2489
ENSG00000082781,2490
ENSG00000085563,2491
ENSG00000087085,2492
ENSG00000087191,2493
ENSG00000095015,2494
ENSG00000097007,2495
ENSG00000100429,2496
ENSG00000101017,2497
ENSG00000102057,2498
ENSG00000102225,2499
ENSG00000106144,2500
ENSG00000108039,2501
ENSG00000108671,2502
