drug_id,disease_id,drug_idx,disease_idx
CHEMBL679,HP_0001742,275,5455
CHEMBL679,HP_0006536,275,6113
CHEMBL679,EFO_0004278,275,7006
CHEMBL679,EFO_0003956,275,8145
CHEMBL119423,EFO_0004274,280,8202
CHEMBL1435,EFO_0003830,284,7813
CHEMBL2105689,EFO_0007510,286,7063
CHEMBL539697,HP_0004419,291,4859
CHEMBL539697,EFO_0003907,291,7910
CHEMBL1201583,EFO_0003016,294,5231
CHEMBL1201583,EFO_0000335,294,5671
CHEMBL1742982,EFO_0004683,299,7620
CHEMBL2105720,EFO_0004274,300,8202
CHEMBL2105720,EFO_0009104,300,8427
CHEMBL2362016,EFO_0000224,302,5686
CHEMBL3545363,EFO_0004220,305,8253
CHEMBL56367,HP_0002829,307,6156
CHEMBL6622,EFO_0009552,312,6804
CHEMBL836,EFO_0000284,314,6655
CHEMBL1349,EFO_0007204,320,9118
CHEMBL1349,EFO_0007282,320,9441
CHEMBL1349,EFO_1001347,320,9482
CHEMBL582,EFO_0003898,327,8126
CHEMBL582,EFO_1001485,327,9551
CHEMBL1201201,EFO_0003888,330,8694
CHEMBL13,EFO_0003913,333,9586
CHEMBL461101,EFO_0007160,342,8454
CHEMBL461101,EFO_0006927,342,9337
CHEMBL477,EFO_1001450,344,7952
CHEMBL477,EFO_0009493,344,9427
CHEMBL1200929,EFO_0001070,346,5191
CHEMBL1200929,HP_0001891,346,6462
CHEMBL1201313,HP_0012735,347,5422
CHEMBL1430,Orphanet_905,350,13496
CHEMBL1491,HP_0003124,351,5907
CHEMBL1491,EFO_1000013,351,9293
CHEMBL1491,EFO_0003913,351,9586
CHEMBL2095212,HP_0000103,357,5868
CHEMBL2095212,EFO_1000781,357,8862
CHEMBL2103830,EFO_0007160,358,8454
CHEMBL2103870,Orphanet_586,359,12021
CHEMBL278172,HP_0000989,361,6199
CHEMBL278172,EFO_0009552,361,6804
CHEMBL779,HP_0000802,365,4482
CHEMBL779,EFO_0000284,365,6655
CHEMBL1164729,EFO_0004274,367,8202
CHEMBL1164729,EFO_0009104,367,8427
CHEMBL1201505,HP_0004419,369,4859
CHEMBL174,EFO_1001888,376,6901
CHEMBL206253,EFO_0006911,381,9503
CHEMBL1471,HP_0002018,393,6071
CHEMBL1471,EFO_0004888,393,7986
CHEMBL1471,EFO_0006911,393,9503
CHEMBL2108709,EFO_0004229,396,9520
CHEMBL493982,HP_0004419,402,4859
CHEMBL493982,EFO_0004265,402,9587
CHEMBL923,EFO_0003854,408,8641
CHEMBL1201420,HP_0004419,409,4859
CHEMBL1201594,EFO_0004274,411,8202
CHEMBL1743079,EFO_1001466,413,7169
CHEMBL243712,EFO_0004888,416,7986
CHEMBL262777,EFO_1001888,417,6901
CHEMBL416956,EFO_0007444,419,7666
CHEMBL416956,EFO_0007445,419,8345
CHEMBL424,EFO_1001888,420,6901
CHEMBL424,EFO_0003894,420,7494
CHEMBL476,EFO_0002617,421,5382
CHEMBL49080,HP_0006536,422,6113
CHEMBL511,HP_0000989,423,6199
CHEMBL561,EFO_1001888,425,6901
CHEMBL70246,HP_0006536,427,6113
CHEMBL885,EFO_0000180,430,6410
CHEMBL997,EFO_0003854,432,8641
CHEMBL1118,MONDO_0002009,434,5268
CHEMBL12,HP_0000713,435,6375
CHEMBL1282,EFO_0002496,438,4984
CHEMBL1465,HP_0004419,439,4859
CHEMBL267345,EFO_0005045,441,6831
CHEMBL267345,EFO_0007380,441,7338
CHEMBL267345,EFO_0007310,441,7478
CHEMBL267345,EFO_0007228,441,8057
CHEMBL714,HP_0025428,447,4591
CHEMBL714,HP_0006536,447,6113
CHEMBL12610,HP_0002829,452,6156
CHEMBL1382,HP_0000103,453,5868
CHEMBL1382,EFO_1000781,453,8862
CHEMBL1743043,EFO_1000956,456,8633
CHEMBL334966,HP_0004419,459,4859
CHEMBL3545062,EFO_0004220,460,8253
CHEMBL672,HP_0003124,466,5907
CHEMBL1193,HP_0000989,469,6199
CHEMBL1201764,HP_0000103,470,5868
CHEMBL1201764,EFO_1000781,470,8862
CHEMBL1509,EFO_0003894,471,7494
CHEMBL1650,HP_0001094,472,4858
CHEMBL1650,EFO_1001888,472,6901
CHEMBL1650,EFO_0004276,472,6920
CHEMBL1650,EFO_1000941,472,7835
CHEMBL1650,EFO_1001194,472,8123
CHEMBL1650,EFO_0004274,472,8202
CHEMBL1650,EFO_0007160,472,8454
CHEMBL1650,EFO_1000039,472,8783
CHEMBL1650,EFO_0009456,472,8806
CHEMBL1650,EFO_1000694,472,9025
CHEMBL1650,EFO_0007403,472,9119
CHEMBL1650,EFO_1000997,472,9190
CHEMBL1650,EFO_1001896,472,9210
CHEMBL1650,EFO_1001205,472,9435
CHEMBL1743029,EFO_0000180,474,6410
CHEMBL25,HP_0004419,477,4859
CHEMBL29,EFO_1001888,479,6901
CHEMBL405,EFO_0000614,482,5190
CHEMBL405,EFO_0003888,482,8694
CHEMBL408513,EFO_0000211,483,5904
CHEMBL494,HP_0004419,485,4859
CHEMBL1201512,EFO_1001888,491,6901
CHEMBL1237025,EFO_0004274,493,8202
CHEMBL1466,HP_0004419,495,4859
CHEMBL184,EFO_1001888,496,6901
CHEMBL184,EFO_0007204,496,9118
CHEMBL184,EFO_0007282,496,9441
CHEMBL184,EFO_1001347,496,9482
CHEMBL2109540,Orphanet_391665,501,10395
