,node_index
CHEMBL2105689,286
CHEMBL2106988,287
CHEMBL2107067,288
CHEMBL472,289
CHEMBL498,290
CHEMBL539697,291
CHEMBL93,292
CHEMBL1201336,293
CHEMBL1201583,294
CHEMBL1411979,295
CHEMBL1428,296
CHEMBL1535,297
CHEMBL169901,298
CHEMBL1742982,299
CHEMBL2105720,300
CHEMBL2110725,301
CHEMBL2362016,302
CHEMBL276832,303
CHEMBL301265,304
CHEMBL3545363,305
CHEMBL412873,306
CHEMBL56367,307
CHEMBL567597,308
CHEMBL584,309
CHEMBL594,310
CHEMBL599,311
CHEMBL6622,312
CHEMBL71595,313
CHEMBL836,314
CHEMBL965,315
CHEMBL1141,316
CHEMBL1173655,317
CHEMBL1201293,318
CHEMBL1201824,319
CHEMBL1349,320
CHEMBL1377,321
CHEMBL1429,322
CHEMBL157138,323
CHEMBL2178422,324
CHEMBL3187365,325
CHEMBL473,326
CHEMBL582,327
CHEMBL595,328
CHEMBL856,329
CHEMBL1201201,330
CHEMBL1201346,331
CHEMBL1201577,332
CHEMBL13,333
CHEMBL1561,334
CHEMBL162036,335
CHEMBL1644695,336
CHEMBL1655,337
CHEMBL1742994,338
CHEMBL1749,339
CHEMBL227875,340
CHEMBL235668,341
CHEMBL461101,342
CHEMBL471,343
CHEMBL477,344
CHEMBL967,345
CHEMBL1200929,346
CHEMBL1201313,347
CHEMBL1201342,348
CHEMBL1201587,349
CHEMBL1430,350
CHEMBL1491,351
CHEMBL1566,352
CHEMBL1609,353
CHEMBL1730,354
CHEMBL1743062,355
CHEMBL181,356
CHEMBL2095212,357
CHEMBL2103830,358
CHEMBL2103870,359
CHEMBL2108546,360
CHEMBL278172,361
CHEMBL408,362
CHEMBL429910,363
CHEMBL501122,364
CHEMBL779,365
CHEMBL1108,366
CHEMBL1164729,367
CHEMBL1200359,368
CHEMBL1201505,369
CHEMBL1368,370
CHEMBL1413,371
CHEMBL1475,372
CHEMBL1589,373
CHEMBL1623992,374
CHEMBL1697851,375
CHEMBL174,376
CHEMBL1742423,377
CHEMBL1983268,378
CHEMBL2028019,379
CHEMBL2043437,380
CHEMBL206253,381
CHEMBL2097081,382
CHEMBL2108728,383
CHEMBL218650,384
CHEMBL249837,385
CHEMBL3414621,386
CHEMBL3545057,387
CHEMBL3545367,388
CHEMBL820,389
CHEMBL866,390
CHEMBL92,391
CHEMBL1024,392
CHEMBL1471,393
CHEMBL2105695,394
CHEMBL2105759,395
CHEMBL2108709,396
CHEMBL2220442,397
CHEMBL301267,398
CHEMBL376488,399
CHEMBL455186,400
CHEMBL473159,401
CHEMBL493982,402
CHEMBL516,403
CHEMBL621,404
CHEMBL669,405
CHEMBL84,406
CHEMBL895,407
CHEMBL923,408
CHEMBL1201420,409
CHEMBL1201464,410
CHEMBL1201594,411
CHEMBL1213351,412
CHEMBL1743079,413
CHEMBL2108681,414
CHEMBL2109027,415
CHEMBL243712,416
CHEMBL262777,417
CHEMBL414804,418
CHEMBL416956,419
CHEMBL424,420
CHEMBL476,421
CHEMBL49080,422
CHEMBL511,423
CHEMBL554,424
CHEMBL561,425
CHEMBL625,426
CHEMBL70246,427
CHEMBL766,428
CHEMBL777,429
CHEMBL885,430
CHEMBL926,431
CHEMBL997,432
CHEMBL1004,433
CHEMBL1118,434
CHEMBL12,435
CHEMBL1201010,436
CHEMBL1201237,437
CHEMBL1282,438
CHEMBL1465,439
CHEMBL175,440
CHEMBL267345,441
CHEMBL3833393,442
CHEMBL506,443
CHEMBL529888,444
CHEMBL589,445
CHEMBL607,446
CHEMBL714,447
CHEMBL72,448
CHEMBL887,449
CHEMBL1101,450
CHEMBL1237,451
CHEMBL12610,452
CHEMBL1382,453
CHEMBL1614,454
CHEMBL1685,455
CHEMBL1743043,456
CHEMBL19224,457
CHEMBL3137301,458
CHEMBL334966,459
CHEMBL3545062,460
CHEMBL415606,461
CHEMBL438,462
CHEMBL452,463
CHEMBL517199,464
CHEMBL631,465
CHEMBL672,466
CHEMBL797,467
CHEMBL100116,468
CHEMBL1193,469
CHEMBL1201764,470
CHEMBL1509,471
CHEMBL1650,472
CHEMBL1697843,473
CHEMBL1743029,474
CHEMBL185,475
CHEMBL220492,476
CHEMBL25,477
CHEMBL264374,478
CHEMBL29,479
CHEMBL3545311,480
CHEMBL3833405,481
CHEMBL405,482
CHEMBL408513,483
CHEMBL475534,484
CHEMBL494,485
CHEMBL1073,486
CHEMBL1187011,487
CHEMBL1194666,488
CHEMBL1200731,489
CHEMBL1201441,490
CHEMBL1201512,491
CHEMBL1222250,492
CHEMBL1237025,493
CHEMBL1412,494
CHEMBL1466,495
CHEMBL184,496
CHEMBL2007641,497
CHEMBL2104987,498
CHEMBL2105131,499
CHEMBL2107841,500
CHEMBL2109540,501
CHEMBL284906,502
CHEMBL3707232,503
CHEMBL4297364,504
CHEMBL629,505
CHEMBL707,506
CHEMBL864,507
CHEMBL894,508
CHEMBL94454,509
CHEMBL1086,510
CHEMBL1542,511
CHEMBL175247,512
CHEMBL1757,513
CHEMBL1773,514
CHEMBL1863514,515
CHEMBL2108429,516
CHEMBL2108738,517
CHEMBL251940,518
CHEMBL282724,519
CHEMBL297302,520
CHEMBL383675,521
CHEMBL389621,522
CHEMBL3989958,523
CHEMBL435,524
CHEMBL708,525
CHEMBL776,526
CHEMBL86882,527
CHEMBL1200,528
CHEMBL1201202,529
CHEMBL1201286,530
CHEMBL1201864,531
CHEMBL1237023,532
CHEMBL1237119,533
CHEMBL1241951,534
CHEMBL1323699,535
CHEMBL1353,536
CHEMBL1628227,537
CHEMBL22,538
CHEMBL28333,539
CHEMBL284348,540
CHEMBL3707208,541
CHEMBL416146,542
CHEMBL429,543
CHEMBL462605,544
CHEMBL539,545
CHEMBL651,546
CHEMBL880,547
CHEMBL92401,548
CHEMBL977,549
CHEMBL1013,550
CHEMBL1025,551
CHEMBL1174,552
CHEMBL1186579,553
CHEMBL1201251,554
CHEMBL1201515,555
CHEMBL1753,556
CHEMBL2108250,557
CHEMBL252556,558
CHEMBL285802,559
CHEMBL3813873,560
CHEMBL404849,561
CHEMBL575,562
CHEMBL632,563
CHEMBL1200633,564
CHEMBL1201168,565
CHEMBL1201195,566
CHEMBL1201212,567
CHEMBL1201630,568
CHEMBL131,569
CHEMBL1431,570
CHEMBL2108129,571
CHEMBL279516,572
CHEMBL3039502,573
CHEMBL3301581,574
CHEMBL3707328,575
CHEMBL4298209,576
CHEMBL545,577
CHEMBL573,578
CHEMBL730,579
CHEMBL772,580
CHEMBL897,581
CHEMBL1068,582
CHEMBL1200562,583
CHEMBL1265,584
CHEMBL1294,585
CHEMBL1676,586
CHEMBL170988,587
CHEMBL1908360,588
CHEMBL2108676,589
CHEMBL232201,590
CHEMBL24828,591
CHEMBL3707247,592
CHEMBL3833301,593
CHEMBL3989917,594
CHEMBL4594248,595
CHEMBL896,596
CHEMBL998,597
CHEMBL1175,598
CHEMBL1200692,599
CHEMBL1201256,600
CHEMBL1350,601
CHEMBL1434,602
CHEMBL1437,603
CHEMBL154111,604
CHEMBL160,605
CHEMBL1763,606
CHEMBL180022,607
CHEMBL207538,608
CHEMBL2104415,609
CHEMBL376897,610
CHEMBL428647,611
CHEMBL4298062,612
CHEMBL499808,613
CHEMBL530,614
CHEMBL869,615
CHEMBL927,616
CHEMBL95,617
CHEMBL116,618
CHEMBL1200989,619
CHEMBL1201203,620
CHEMBL1201572,621
CHEMBL1237022,622
CHEMBL126224,623
CHEMBL1440,624
CHEMBL1451,625
CHEMBL1574,626
CHEMBL1743070,627
CHEMBL1873475,628
CHEMBL2105224,629
CHEMBL222645,630
CHEMBL308954,631
CHEMBL3989908,632
CHEMBL3990026,633
CHEMBL4297549,634
CHEMBL501849,635
CHEMBL527,636
CHEMBL53418,637
CHEMBL1000,638
CHEMBL1201260,639
CHEMBL1201340,640
CHEMBL137,641
CHEMBL1425,642
CHEMBL14370,643
CHEMBL1514,644
CHEMBL1697838,645
CHEMBL2364648,646
CHEMBL277062,647
CHEMBL289469,648
CHEMBL3039598,649
CHEMBL3137312,650
CHEMBL350221,651
CHEMBL916,652
CHEMBL1040,653
CHEMBL108545,654
CHEMBL1146,655
CHEMBL1200959,656
CHEMBL1201129,657
CHEMBL1201320,658
CHEMBL1214124,659
CHEMBL1241,660
CHEMBL1341,661
CHEMBL2104993,662
CHEMBL2108396,663
CHEMBL349803,664
CHEMBL3707357,665
CHEMBL434200,666
CHEMBL655,667
CHEMBL787,668
CHEMBL942,669
CHEMBL1201573,670
CHEMBL1214185,671
CHEMBL1538,672
