,node_index
MONDO_0020593,4763
MONDO_0021300,4764
MONDO_0030066,4765
MONDO_0033559,4766
MONDO_0100186,4767
HP_0000629,4768
HP_0006315,4769
HP_0010473,4770
HP_0012199,4771
MONDO_0001557,4772
MONDO_0002652,4773
MONDO_0003453,4774
MONDO_0010318,4775
MONDO_0014850,4776
MONDO_0018653,4777
MONDO_0021470,4778
MONDO_0100221,4779
EFO_0000502,4780
HP_0001848,4781
MONDO_0000169,4782
MONDO_0001078,4783
MONDO_0002278,4784
MONDO_0011428,4785
MONDO_0011668,4786
MONDO_0014353,4787
MONDO_0020795,4788
MONDO_0023726,4789
MONDO_0030017,4790
MONDO_0033619,4791
MONDO_0044312,4792
MONDO_0054860,4793
MONDO_0100194,4794
EFO_0000483,4795
EFO_0001357,4796
HP_0001082,4797
HP_0002290,4798
HP_0006467,4799
HP_0010813,4800
HP_0030775,4801
HP_0100601,4802
MONDO_0004359,4803
MONDO_0004627,4804
MONDO_0007268,4805
MONDO_0007336,4806
MONDO_0009346,4807
MONDO_0012237,4808
MONDO_0014743,4809
MONDO_0021123,4810
MONDO_0029143,4811
MONDO_0032763,4812
HP_0000307,4813
HP_0001520,4814
HP_0001800,4815
HP_0002127,4816
HP_0003073,4817
HP_0004467,4818
HP_0004691,4819
HP_0007328,4820
HP_0007830,4821
MONDO_0001903,4822
MONDO_0002863,4823
MONDO_0003376,4824
MONDO_0003624,4825
MONDO_0008828,4826
MONDO_0009866,4827
MONDO_0012282,4828
MONDO_0014369,4829
MONDO_0020638,4830
MONDO_0021180,4831
MONDO_0054565,4832
MONDO_0060596,4833
MONDO_0060758,4834
EFO_0002616,4835
HP_0000678,4836
HP_0001162,4837
HP_0001880,4838
HP_0007936,4839
HP_0008967,4840
HP_0011736,4841
HP_0031047,4842
MONDO_0000962,4843
MONDO_0012586,4844
MONDO_0013618,4845
MONDO_0014603,4846
MONDO_0015063,4847
MONDO_0018740,4848
HP_0000762,4849
HP_0001620,4850
HP_0002342,4851
MONDO_0001847,4852
MONDO_0008939,4853
MONDO_0009948,4854
MONDO_0011571,4855
MONDO_0011973,4856
MONDO_0013928,4857
HP_0001094,4858
HP_0004419,4859
HP_0005117,4860
HP_0005181,4861
HP_0008419,4862
HP_0012388,4863
HP_0400007,4864
MONDO_0002375,4865
MONDO_0016692,4866
MONDO_0020853,4867
MONDO_0033537,4868
MONDO_0054817,4869
EFO_0002623,4870
EFO_0003779,4871
HP_0002970,4872
HP_0010059,4873
HP_0010539,4874
HP_0012736,4875
HP_0020174,4876
HP_0031273,4877
MONDO_0011789,4878
MONDO_0011831,4879
MONDO_0014252,4880
MONDO_0014701,4881
MONDO_0019457,4882
MONDO_0032921,4883
MONDO_0032928,4884
EFO_0000195,4885
HP_0000823,4886
HP_0001325,4887
HP_0002171,4888
HP_0002370,4889
HP_0100504,4890
MONDO_0004386,4891
MONDO_0014801,4892
MONDO_0019474,4893
MONDO_0100040,4894
EFO_0003812,4895
HP_0000011,4896
HP_0000121,4897
HP_0000680,4898
MONDO_0000816,4899
MONDO_0014472,4900
MONDO_0019469,4901
MONDO_0020513,4902
MONDO_0032688,4903
MONDO_0032887,4904
MONDO_0032909,4905
MONDO_0044327,4906
MONDO_0060729,4907
EFO_0002499,4908
EFO_0002500,4909
EFO_0003762,4910
HP_0000044,4911
HP_0000268,4912
HP_0001987,4913
HP_0010841,4914
MONDO_0001858,4915
MONDO_0030057,4916
MONDO_0030061,4917
MONDO_0033613,4918
MONDO_0034204,4919
EFO_0003147,4920
HP_0001304,4921
HP_0003419,4922
HP_0004421,4923
HP_0025267,4924
HP_0100698,4925
HP_0100832,4926
MONDO_0001285,4927
MONDO_0013048,4928
MONDO_0060583,4929
EFO_0000331,4930
EFO_0002628,4931
HP_0000803,4932
HP_0002091,4933
HP_0002756,4934
HP_0005855,4935
HP_0012259,4936
MONDO_0001291,4937
MONDO_0004933,4938
MONDO_0013885,4939
MONDO_0018492,4940
MONDO_0022057,4941
MONDO_0033546,4942
MONDO_0033967,4943
MONDO_0044725,4944
HP_0000767,4945
HP_0009736,4946
MONDO_0003915,4947
MONDO_0004784,4948
MONDO_0013017,4949
MONDO_0014313,4950
MONDO_0014916,4951
MONDO_0018072,4952
OBI_1110021,4953
EFO_0000782,4954
HP_0000444,4955
HP_0002024,4956
HP_0004902,4957
HP_0011471,4958
HP_0012595,4959
HP_0020046,4960
HP_0020083,4961
MONDO_0003366,4962
MONDO_0003531,4963
MONDO_0008672,4964
MONDO_0011431,4965
MONDO_0013334,4966
MONDO_0019843,4967
MONDO_0032751,4968
MONDO_0033547,4969
EFO_0003758,4970
HP_0000690,4971
HP_0002148,4972
HP_0025324,4973
HP_0100309,4974
MONDO_0000944,4975
MONDO_0003158,4976
MONDO_0003865,4977
MONDO_0013549,4978
MONDO_0014464,4979
MONDO_0024677,4980
MONDO_0029130,4981
MONDO_0060663,4982
MONDO_0060704,4983
EFO_0002496,4984
HP_0000265,4985
HP_0002144,4986
HP_0002757,4987
HP_0003756,4988
HP_0005280,4989
HP_0006114,4990
HP_0011411,4991
HP_0012389,4992
MONDO_0003619,4993
MONDO_0004557,4994
MONDO_0007586,4995
MONDO_0012274,4996
MONDO_0013543,4997
MONDO_0013656,4998
MONDO_0014813,4999
MONDO_0030027,5000
MONDO_0042487,5001
EFO_0001358,5002
HP_0000341,5003
HP_0000391,5004
HP_0000616,5005
HP_0000725,5006
HP_0001026,5007
HP_0007446,5008
HP_0008994,5009
HP_0009049,5010
MONDO_0008295,5011
MONDO_0014347,5012
MONDO_0033622,5013
HP_0001279,5014
HP_0001962,5015
HP_0040165,5016
HP_0045046,5017
MONDO_0000643,5018
MONDO_0004885,5019
MONDO_0054743,5020
MONDO_0060712,5021
EFO_0000776,5022
HP_0000817,5023
HP_0006882,5024
HP_0011555,5025
HP_0012167,5026
HP_0030369,5027
HP_0100759,5028
MONDO_0004321,5029
MONDO_0012057,5030
MONDO_0018109,5031
MONDO_0030062,5032
HP_0000473,5033
MONDO_0021476,5034
MONDO_0030034,5035
MONDO_0032882,5036
EFO_0000613,5037
HP_0001864,5038
HP_0003720,5039
HP_0005085,5040
HP_0040183,5041
MONDO_0001302,5042
MONDO_0001859,5043
MONDO_0012909,5044
MONDO_0015564,5045
MONDO_0018330,5046
MONDO_0030030,5047
MONDO_0030054,5048
MONDO_0032903,5049
MONDO_0060555,5050
EFO_0000775,5051
MONDO_0001828,5052
MONDO_0002558,5053
MONDO_0004116,5054
MONDO_0007648,5055
MONDO_0011283,5056
MONDO_0014671,5057
MONDO_0014957,5058
MONDO_0018335,5059
MONDO_0019088,5060
MONDO_0030072,5061
MONDO_0032932,5062
EFO_0000394,5063
HP_0000753,5064
HP_0002901,5065
HP_0004277,5066
MONDO_0010292,5067
MONDO_0015813,5068
MONDO_0032936,5069
HP_0001831,5070
HP_0002791,5071
HP_0003212,5072
HP_0008081,5073
HP_0010769,5074
MONDO_0000890,5075
MONDO_0001721,5076
MONDO_0004874,5077
MONDO_0010283,5078
MONDO_0015829,5079
EFO_0002894,5080
HP_0000997,5081
HP_0002515,5082
HP_0010886,5083
MONDO_0004571,5084
MONDO_0007220,5085
MONDO_0008057,5086
MONDO_0044001,5087
HP_0000132,5088
HP_0000768,5089
HP_0031217,5090
HP_0031456,5091
HP_0031987,5092
MONDO_0000894,5093
MONDO_0003125,5094
MONDO_0010885,5095
MONDO_0016474,5096
MONDO_0019465,5097
EFO_0003759,5098
HP_0002751,5099
MONDO_0009709,5100
MONDO_0010920,5101
MONDO_0016700,5102
MONDO_0018561,5103
MONDO_0032910,5104
MONDO_0033566,5105
EFO_0000255,5106
HP_0001845,5107
HP_0002120,5108
HP_0002165,5109
HP_0006829,5110
HP_0009087,5111
HP_0011974,5112
MONDO_0004087,5113
MONDO_0004528,5114
MONDO_0004593,5115
MONDO_0007533,5116
MONDO_0008409,5117
MONDO_0014418,5118
MONDO_0036484,5119
EFO_0000736,5120
HP_0010752,5121
HP_0010771,5122
HP_0025234,5123
MONDO_0003710,5124
MONDO_0011853,5125
MONDO_0016441,5126
MONDO_0020852,5127
MONDO_0032908,5128
MONDO_0054794,5129
MONDO_0100147,5130
NCIT_C117245,5131
HP_0000308,5132
HP_0000430,5133
HP_0002136,5134
HP_0003086,5135
HP_0009020,5136
HP_0025116,5137
MONDO_0014834,5138
MONDO_0020846,5139
EFO_0002756,5140
MONDO_0001369,5141
MONDO_0008452,5142
MONDO_0008560,5143
MONDO_0013552,5144
MONDO_0044916,5145
EFO_0003783,5146
HP_0000125,5147
HP_0001336,5148
HP_0002243,5149
HP_0011706,5150
MONDO_0003978,5151
MONDO_0018469,5152
MONDO_0020723,5153
MONDO_0032931,5154
MONDO_0033615,5155
HP_0001010,5156
HP_0004696,5157
MONDO_0002855,5158
MONDO_0013302,5159
MONDO_0020850,5160
MONDO_0021496,5161
HP_0000175,5162
HP_0000771,5163
HP_0002573,5164
HP_0005033,5165
HP_0012603,5166
HP_0040233,5167
MONDO_0003219,5168
MONDO_0023297,5169
MONDO_0032895,5170
MONDO_0100035,5171
EFO_0003085,5172
HP_0012098,5173
HP_0030151,5174
HP_0040187,5175
MONDO_0004479,5176
MONDO_0010817,5177
MONDO_0014893,5178
MONDO_0032843,5179
MONDO_0060611,5180
HP_0011412,5181
MONDO_0002619,5182
MONDO_0002959,5183
MONDO_0012183,5184
MONDO_0013564,5185
MONDO_0014278,5186
MONDO_0014397,5187
MONDO_0014948,5188
MONDO_0060631,5189
EFO_0000614,5190
EFO_0001070,5191
EFO_0001077,5192
HP_0008348,5193
HP_0010049,5194
HP_0025258,5195
MONDO_0000532,5196
MONDO_0010967,5197
MONDO_0012561,5198
MONDO_0012991,5199
MONDO_0014528,5200
MONDO_0014789,5201
MONDO_0017361,5202
MONDO_0030070,5203
MONDO_0034103,5204
MONDO_0100095,5205
EFO_0000330,5206
HP_0000054,5207
HP_0000975,5208
HP_0000980,5209
HP_0001348,5210
HP_0006957,5211
HP_0007141,5212
HP_0012248,5213
HP_0033006,5214
MONDO_0002172,5215
MONDO_0003353,5216
MONDO_0009815,5217
MONDO_0013586,5218
MONDO_0033572,5219
MONDO_0044206,5220
HP_0000112,5221
HP_0001176,5222
HP_0004060,5223
HP_0005484,5224
HP_0010313,5225
MONDO_0003200,5226
MONDO_0011688,5227
MONDO_0014994,5228
MONDO_0016611,5229
MONDO_0032737,5230
EFO_0003016,5231
HP_0000413,5232
HP_0000577,5233
HP_0009720,5234
MONDO_0004618,5235
MONDO_0007631,5236
MONDO_0015006,5237
MONDO_0021280,5238
MONDO_0032594,5239
MONDO_0060641,5240
MONDO_0100195,5241
MONDO_0100219,5242
EFO_0000762,5243
EFO_0001057,5244
HP_0000527,5245
HP_0002566,5246
HP_0003065,5247
HP_0003298,5248
HP_0012194,5249
MONDO_0002621,5250
MONDO_0007319,5251
MONDO_0012431,5252
MONDO_0014956,5253
MONDO_0018588,5254
MONDO_0024519,5255
MONDO_0033563,5256
HP_0000019,5257
HP_0031678,5258
MONDO_0008343,5259
MONDO_0010560,5260
MONDO_0012868,5261
MONDO_0033556,5262
EFO_0003094,5263
EFO_0003145,5264
HP_0010650,5265
HP_0010944,5266
HP_0030016,5267
MONDO_0002009,5268
MONDO_0004527,5269
MONDO_0014405,5270
MONDO_0016030,5271
MONDO_0016683,5272
MONDO_0030074,5273
DOID_10718,5274
HP_0005281,5275
HP_0007210,5276
HP_0011037,5277
HP_0100023,5278
MONDO_0001798,5279
MONDO_0002588,5280
MONDO_0009410,5281
MONDO_0011450,5282
MONDO_0013324,5283
MONDO_0013747,5284
MONDO_0017596,5285
MONDO_0033656,5286
EFO_0003760,5287
HP_0000528,5288
HP_0001256,5289
HP_0002123,5290
HP_0009933,5291
HP_0012232,5292
MONDO_0003668,5293
MONDO_0008565,5294
MONDO_0012676,5295
MONDO_0020460,5296
EFO_0001064,5297
HP_0003031,5298
HP_0005562,5299
HP_0010743,5300
MONDO_0004222,5301
MONDO_0018750,5302
MONDO_0019191,5303
MONDO_0021553,5304
HP_0000411,5305
HP_0004969,5306
HP_0011031,5307
HP_0011504,5308
MONDO_0001878,5309
MONDO_0003448,5310
MONDO_0014455,5311
MONDO_0021953,5312
MONDO_0024525,5313
MONDO_0030043,5314
EFO_0000504,5315
HP_0000699,5316
HP_0001495,5317
HP_0002066,5318
HP_0003376,5319
HP_0004804,5320
HP_0012877,5321
HP_0100501,5322
MONDO_0014553,5323
MONDO_0030038,5324
MONDO_0060752,5325
EFO_0000650,5326
HP_0000337,5327
HP_0005165,5328
HP_0006610,5329
HP_0012227,5330
MONDO_0003455,5331
MONDO_0026722,5332
MONDO_0044319,5333
MONDO_0044917,5334
EFO_0000552,5335
EFO_0002507,5336
EFO_0003096,5337
HP_0000618,5338
HP_0001643,5339
HP_0008250,5340
HP_0012228,5341
MONDO_0011837,5342
MONDO_0013220,5343
MONDO_0017043,5344
MONDO_0030008,5345
MONDO_0044660,5346
MONDO_0044714,5347
HP_0003482,5348
HP_0004605,5349
MONDO_0004187,5350
MONDO_0004649,5351
MONDO_0007509,5352
MONDO_0032901,5353
MONDO_0032920,5354
MONDO_0032938,5355
MONDO_0033614,5356
MONDO_0054833,5357
HP_0004719,5358
HP_0005359,5359
HP_0200026,5360
MONDO_0003180,5361
MONDO_0004730,5362
MONDO_0011959,5363
MONDO_0013401,5364
MONDO_0013562,5365
MONDO_0026045,5366
MONDO_0032943,5367
MONDO_0060533,5368
EFO_0001056,5369
HP_0002080,5370
HP_0005881,5371
HP_0012205,5372
HP_0100825,5373
MONDO_0003263,5374
MONDO_0007728,5375
MONDO_0014993,5376
MONDO_0018513,5377
MONDO_0019740,5378
MONDO_0054733,5379
MONDO_0100218,5380
EFO_0000248,5381
EFO_0002617,5382
HP_0000316,5383
HP_0000921,5384
HP_0001385,5385
MONDO_0010432,5386
MONDO_0014764,5387
MONDO_0020657,5388
MONDO_0030045,5389
MONDO_0060745,5390
EFO_0001072,5391
HP_0000085,5392
HP_0002317,5393
MONDO_0000924,5394
MONDO_0003922,5395
MONDO_0008905,5396
MONDO_0014714,5397
MONDO_0030922,5398
EFO_0000658,5399
HP_0000286,5400
HP_0000325,5401
HP_0000902,5402
HP_0011705,5403
HP_0012675,5404
MONDO_0014968,5405
MONDO_0018698,5406
MONDO_0020798,5407
MONDO_0032591,5408
MONDO_0033638,5409
HP_0000360,5410
HP_0000649,5411
HP_0003749,5412
MONDO_0003805,5413
MONDO_0010435,5414
MONDO_0013500,5415
MONDO_0013921,5416
MONDO_0032892,5417
MONDO_0033652,5418
HP_0003274,5419
HP_0007754,5420
HP_0012424,5421
HP_0012735,5422
MONDO_0002359,5423
MONDO_0002996,5424
MONDO_0014853,5425
MONDO_0019479,5426
HP_0000559,5427
HP_0001771,5428
HP_0002045,5429
HP_0002196,5430
HP_0002987,5431
HP_0004552,5432
HP_0010805,5433
HP_0100880,5434
MONDO_0002376,5435
MONDO_0009930,5436
MONDO_0015342,5437
MONDO_0016222,5438
MONDO_0023619,5439
EFO_0003757,5440
HP_0004751,5441
HP_0100550,5442
MONDO_0004812,5443
MONDO_0009436,5444
MONDO_0014284,5445
MONDO_0024301,5446
MONDO_0030064,5447
MONDO_0032914,5448
MONDO_0054700,5449
MONDO_0054764,5450
MONDO_0060622,5451
EFO_0000281,5452
HP_0000622,5453
HP_0001182,5454
HP_0001742,5455
HP_0002000,5456
HP_0008997,5457
HP_0010804,5458
HP_0010956,5459
MONDO_0008210,5460
MONDO_0009063,5461
MONDO_0010284,5462
MONDO_0011024,5463
MONDO_0013081,5464
MONDO_0013536,5465
MONDO_0018820,5466
MONDO_0033542,5467
EFO_0002546,5468
EFO_0002686,5469
HP_0001075,5470
HP_0002108,5471
HP_0007333,5472
HP_0011886,5473
HP_0012868,5474
MONDO_0001288,5475
MONDO_0001434,5476
MONDO_0014953,5477
MONDO_0032923,5478
MONDO_0060713,5479
HP_0000154,5480
HP_0001558,5481
HP_0003108,5482
HP_0004481,5483
HP_0007633,5484
HP_0012086,5485
HP_0012704,5486
MONDO_0013809,5487
MONDO_0019834,5488
MONDO_0029137,5489
MONDO_0033621,5490
MONDO_0044727,5491
NCIT_C95746,5492
HP_0000201,5493
HP_0001651,5494
HP_0002442,5495
MONDO_0000489,5496
MONDO_0002836,5497
MONDO_0013731,5498
MONDO_0014806,5499
MONDO_0022293,5500
MONDO_0060627,5501
EFO_0000500,5502
HP_0001822,5503
HP_0011105,5504
HP_0012278,5505
MONDO_0001296,5506
MONDO_0003789,5507
MONDO_0004357,5508
MONDO_0009578,5509
MONDO_0033620,5510
MONDO_0033636,5511
MONDO_0033653,5512
MONDO_0060711,5513
MONDO_0060724,5514
EFO_0003780,5515
HP_0000494,5516
HP_0011120,5517
HP_0012364,5518
MONDO_0002398,5519
MONDO_0002605,5520
MONDO_0013474,5521
MONDO_0022113,5522
EFO_0002502,5523
HP_0000138,5524
HP_0002907,5525
HP_0003146,5526
HP_0009748,5527
HP_0009779,5528
HP_0031652,5529
HP_0032190,5530
HP_0100559,5531
