id,name,drugType,blackBoxWarning,yearOfFirstApproval,parentId,childChemblIds,linkedDiseases.rows,hasBeenWithdrawn,linkedTargets.rows
CHEMBL1096882,FLUDARABINE PHOSPHATE,Small molecule,True,1991.0,,,"['EFO_1001257' 'EFO_1000403' 'EFO_0000637' 'EFO_0000756' 'EFO_0000681'
 'EFO_0005952' 'EFO_0006803' 'EFO_1000318' 'MONDO_0015760' 'EFO_1001935'
 'EFO_0000588' 'EFO_0000096' 'EFO_0002690' 'EFO_1000956' 'EFO_0000339'
 'Orphanet_3319' 'MONDO_0020511' 'MONDO_0008903' 'EFO_0000676'
 'Orphanet_42738' 'Orphanet_379' 'MONDO_0000159' 'EFO_0005803'
 'MONDO_0013730' 'EFO_0000198' 'EFO_0000221' 'MONDO_0019465' 'EFO_0001642'
 'EFO_1000309' 'EFO_0000384' 'MONDO_0008315' 'EFO_1000026' 'MONDO_0002691'
 'HP_0002721' 'MONDO_0009453' 'MONDO_0044889' 'EFO_0003032'
 'MONDO_0019472' 'EFO_0000574' 'EFO_0004256' 'EFO_0001378' 'EFO_1000142'
 'Orphanet_231214' 'EFO_1000550' 'Orphanet_84' 'MONDO_0044903'
 'EFO_1001465' 'MONDO_0007254' 'EFO_0000255' 'EFO_0004252' 'MONDO_0003541'
 'EFO_0002430' 'MONDO_0002158' 'EFO_1001996' 'EFO_0004289' 'EFO_0000196'
 'EFO_0000183' 'MONDO_0002083' 'Orphanet_447' 'EFO_1000388' 'EFO_0000616'
 'EFO_1001779' 'EFO_0006859' 'MONDO_0019457' 'EFO_0000403' 'MONDO_0000870'
 'EFO_0000222' 'MONDO_0007576' 'MONDO_0019469' 'EFO_0004599' 'EFO_0003885'
 'EFO_0002517' 'EFO_0006927' 'MONDO_0002367' 'MONDO_0018906'
 'Orphanet_2781' 'HP_0100727' 'MONDO_0024880' 'EFO_0000519'
 'MONDO_0000873' 'EFO_0003869' 'EFO_0001075' 'Orphanet_183660'
 'EFO_1000131' 'Orphanet_848' 'EFO_0000540' 'EFO_0000565' 'EFO_0000309'
 'EFO_0004251' 'EFO_0009709' 'EFO_0000389' 'MONDO_0019460' 'MONDO_0019088'
 'EFO_0000330' 'EFO_0000182' 'EFO_1000785' 'EFO_0000094' 'EFO_0009441'
 'EFO_0003802' 'EFO_0005761' 'EFO_1000292' 'EFO_0000220' 'MONDO_0002108'
 'MONDO_0008170' 'EFO_0000349' 'EFO_0000223' 'MONDO_0044881' 'EFO_0002429'
 'EFO_0003025' 'EFO_0009708' 'MONDO_0019474' 'Orphanet_811' 'EFO_0006926'
 'MONDO_0001023' 'MONDO_0021193' 'EFO_0002428' 'EFO_1001051' 'EFO_0000218'
 'EFO_1000102' 'MONDO_0019471' 'MONDO_0002542' 'EFO_0003812'
 'Orphanet_232' 'MONDO_0015686' 'EFO_0003778' 'EFO_1001945' 'EFO_1001469'
 'HP_0001915' 'EFO_0000209' 'EFO_0000708' 'MONDO_0002087' 'EFO_1002048'
 'EFO_1000690' 'EFO_1000218' 'Orphanet_906' 'MONDO_0001657' 'EFO_0004272'
 'MONDO_0020743' 'EFO_0000717' 'EFO_0010580' 'EFO_0002617' 'EFO_0000685'
 'EFO_1000616' 'EFO_0002422' 'EFO_0000621' 'EFO_0000311' 'EFO_0000211'
 'EFO_0003865' 'EFO_0000095' 'EFO_0000174' 'EFO_0006475' 'EFO_0000191'
 'EFO_1000560' 'MONDO_0020077' 'EFO_0000691' 'EFO_0003027' 'EFO_0003811']",False,"['ENSG00000177084' 'ENSG00000101868' 'ENSG00000146143' 'ENSG00000062822'
 'ENSG00000148229' 'ENSG00000167325' 'ENSG00000198056' 'ENSG00000100479'
 'ENSG00000077514' 'ENSG00000106628' 'ENSG00000014138' 'ENSG00000175482']"
CHEMBL1200689,NITRIC OXIDE,Small molecule,False,1999.0,,,"['EFO_0001361' 'EFO_0007486' 'EFO_0004278' 'EFO_0007067' 'EFO_1001923'
 'HP_0011950' 'EFO_1001951' 'EFO_0003103' 'EFO_1001459' 'EFO_0008585'
 'EFO_0000544' 'EFO_0005046' 'EFO_0007541' 'EFO_0005762' 'EFO_0009686'
 'MONDO_0005149' 'HP_0002093' 'HP_0200042' 'EFO_0009447' 'EFO_0002687'
 'EFO_1001103' 'HP_0001919' 'HP_0100806' 'MP_0001845' 'MONDO_0100096'
 'Orphanet_79364' 'EFO_0000270' 'EFO_0000341' 'Orphanet_232' 'EFO_1000644'
 'Orphanet_586' 'EFO_0000373' 'EFO_1000637' 'EFO_1001399' 'EFO_0003948'
 'EFO_0009444' 'Orphanet_70589' 'EFO_1001375' 'EFO_0003144' 'EFO_0000712'
 'MONDO_0005299' 'EFO_0004272' 'EFO_0003917' 'EFO_0000694' 'HP_0002094'
 'EFO_0005207' 'EFO_0003818' 'EFO_0007512' 'EFO_0000537' 'EFO_0003106'
 'EFO_0000684' 'EFO_0001068' 'EFO_0003827' 'EFO_0008583' 'EFO_0005611'
 'MONDO_0043510' 'EFO_0009492']",False,['ENSG00000061918' 'ENSG00000123201']
CHEMBL1201192,ARMODAFINIL,Small molecule,False,2007.0,,,"['MONDO_0021107' 'EFO_0000616' 'EFO_0003888' 'EFO_0005246' 'EFO_0006859'
 'EFO_0005687' 'MONDO_0100342' 'HP_0000726' 'MONDO_0007576' 'EFO_0008568'
 'EFO_0001073' 'EFO_0004698' 'EFO_0003060' 'EFO_0000614' 'EFO_0003885'
 'MONDO_0002050' 'EFO_0000712' 'MONDO_0043510' 'HP_0012378' 'EFO_0003047'
 'EFO_0003918' 'EFO_0005411' 'EFO_0000692' 'EFO_0003922']",False,['ENSG00000142319']
CHEMBL1201507,GLATIRAMER ACETATE,Small molecule,False,1996.0,,,,False,
CHEMBL1229,OSELTAMIVIR,Small molecule,False,1999.0,,['CHEMBL251990' 'CHEMBL1200340' 'CHEMBL3183419'],,False,
CHEMBL15023,TRIFLUPERIDOL,Small molecule,False,,,['CHEMBL1257039'],,False,
CHEMBL2048028,LIFITEGRAST,Small molecule,False,2016.0,,['CHEMBL2048409' 'CHEMBL2048410'],['MONDO_0013730' 'EFO_0003966' 'EFO_1000906' 'EFO_0007141' 'EFO_0009321'],False,['ENSG00000005844' 'ENSG00000160255']
CHEMBL27,PROPRANOLOL,Small molecule,True,1967.0,,['CHEMBL1671'],"['MONDO_0004938' 'EFO_0002610' 'EFO_0004262' 'EFO_0004280' 'MONDO_0002009'
 'EFO_0000275' 'EFO_0000756' 'EFO_0000681' 'EFO_0004278' 'EFO_0003768'
 'EFO_1001917' 'EFO_0009322' 'Orphanet_79383' 'EFO_1000911' 'HP_0004755'
 'EFO_0000389' 'EFO_0000182' 'EFO_0005295' 'HP_0003419' 'EFO_1000802'
 'EFO_0003756' 'EFO_0005296' 'EFO_0003821' 'EFO_1001466' 'MONDO_0002363'
 'HP_0001636' 'EFO_0009516' 'EFO_1001968' 'Orphanet_558' 'EFO_0000666'
 'EFO_0001663' 'HP_0001279' 'EFO_0000546' 'EFO_0001422' 'EFO_0000270'
 'EFO_0001359' 'EFO_0009545' 'EFO_0001378' 'HP_0001943' 'EFO_0000341'
 'EFO_0001360' 'EFO_0003108' 'EFO_1001158' 'EFO_0005251' 'EFO_0003086'
 'EFO_0005687' 'Orphanet_232' 'EFO_0005252' 'MONDO_0007254'
 'Orphanet_221061' 'EFO_0003882' 'MONDO_0001187' 'MONDO_0001056'
 'EFO_1000218' 'EFO_0003968' 'EFO_1001375' 'EFO_0003860' 'HP_0030834'
 'EFO_1000645' 'EFO_0000712' 'EFO_0004242' 'EFO_0005230' 'EFO_1000635'
 'HP_0001541' 'EFO_0004319' 'HP_0001337' 'EFO_0004329' 'EFO_0000478'
 'EFO_0001358' 'EFO_0000319' 'EFO_1001884' 'EFO_0009189' 'HP_0002315'
 'EFO_0003843' 'EFO_0000537' 'EFO_0000311' 'EFO_0001072' 'EFO_0004287'
 'Orphanet_230' 'Orphanet_774' 'EFO_0004142' 'EFO_0000612' 'MONDO_0043510'
 'EFO_0003918']",False,['ENSG00000169252' 'ENSG00000043591']
CHEMBL277522,FENBUFEN,Small molecule,False,,,,,False,
CHEMBL3833389,DEXTROMORAMIDE,Small molecule,False,,,['CHEMBL3833311'],['EFO_0003843'],False,['ENSG00000082556' 'ENSG00000116329' 'ENSG00000112038']
